,new_cases_smoothed
2021-05-14,62154.286
2021-05-15,62952.857
2021-05-16,63644.857
2021-05-17,63544.429
2021-05-18,64215.714
2021-05-19,64789.286
2021-05-20,65268.857
2021-05-21,65085.571
2021-05-22,65163.429
2021-05-23,65296.429
2021-05-24,65565.286
2021-05-25,65456.143
2021-05-26,65453.571
2021-05-27,62759.857
2021-05-28,59510.857
2021-05-29,60649.0
2021-05-30,61071.0
2021-05-31,60946.286
2021-06-01,61642.286
2021-06-02,63932.714
2021-06-03,65580.714
2021-06-04,64049.714
2021-06-05,62021.714
2021-06-06,61863.714
2021-06-07,62307.857
2021-06-08,58993.571
2021-06-09,57363.429
2021-06-10,59531.571
2021-06-11,65694.571
2021-06-12,67424.0
2021-06-13,66944.143
2021-06-14,67369.286
2021-06-15,71859.0
2021-06-16,72096.286
2021-06-17,69988.857
2021-06-18,71293.429
2021-06-19,71887.857
2021-06-20,72974.0
2021-06-21,73362.286
2021-06-22,78663.286
2021-06-23,77358.714
2021-06-24,77377.571
2021-06-25,74465.714
2021-06-26,71998.714
2021-06-27,70197.714
2021-06-28,68290.429
2021-06-29,59963.0
2021-06-30,55641.143
2021-07-01,53427.714
2021-07-02,51786.429
2021-07-03,50796.143
2021-07-04,49865.0
2021-07-05,49275.857
2021-07-06,48665.429
2021-07-07,49668.857
2021-07-08,48671.286
2021-07-09,47939.857
2021-07-10,46566.714
2021-07-11,45664.571
2021-07-12,44421.429
2021-07-13,42547.571
2021-07-14,42823.286
2021-07-15,42859.143
2021-07-16,40639.571
2021-07-17,41340.857
2021-07-18,40998.0
2021-07-19,40644.143
2021-07-20,38156.0
2021-07-21,38118.714
2021-07-22,37302.0
2021-07-23,46474.143
2021-07-24,44419.571
2021-07-25,44635.143
2021-07-26,45304.571
2021-07-27,47082.0
2021-07-28,45826.714
2021-07-29,44775.286
2021-07-30,35240.714
2021-07-31,35303.571
2021-08-01,35603.143
2021-08-02,35236.429
2021-08-03,33651.429
2021-08-04,32721.143
2021-08-05,32458.714
2021-08-06,32786.286
2021-08-07,33421.286
2021-08-08,32498.571
2021-08-09,32022.429
2021-08-10,32446.143
2021-08-11,31718.429
2021-08-12,31200.429
2021-08-13,29818.143
2021-08-14,28356.571
2021-08-15,28338.429
2021-08-16,28716.714
2021-08-17,29223.0
2021-08-18,29898.429
2021-08-19,29920.571
2021-08-20,30094.571
2021-08-21,29526.0
2021-08-22,29551.429
2021-08-23,29189.143
2021-08-24,28161.0
2021-08-25,26705.0
2021-08-26,25977.857
2021-08-27,25055.429
2021-08-28,24716.143
2021-08-29,24333.0
2021-08-30,23925.429
2021-08-31,23216.429
2021-09-01,22612.0
2021-09-02,22054.857
2021-09-03,21461.714
2021-09-04,21087.143
2021-09-05,21286.857
2021-09-06,20911.286
2021-09-07,19019.571
2021-09-08,17367.286
