year;month;day;lod(ms);sig(ms);
1963;1;3;1.6140;1.4000;
1963;1;4;1.5720;1.4000;
1963;1;5;1.4530;1.4000;
1963;1;6;1.2800;1.4000;
1963;1;7;1.0940;1.4000;
1963;1;8;0.9360;1.4000;
1963;1;9;0.8370;1.4000;
1963;1;10;0.8050;1.4000;
1963;1;11;0.8410;1.4000;
1963;1;12;0.9020;1.4000;
1963;1;13;0.9660;1.4000;
1963;1;14;1.0340;1.4000;
1963;1;15;1.0710;1.4000;
1963;1;16;1.0780;1.4000;
1963;1;17;1.0520;1.4000;
1963;1;18;0.9920;1.4000;
1963;1;19;0.9070;1.4000;
1963;1;20;0.8070;1.4000;
1963;1;21;0.7050;1.4000;
1963;1;22;0.6230;1.4000;
1963;1;23;0.5720;1.4000;
1963;1;24;0.5730;1.4000;
1963;1;25;0.6520;1.4000;
1963;1;26;0.7960;1.4000;
1963;1;27;0.9830;1.4000;
1963;1;28;1.1800;1.4000;
1963;1;29;1.3300;1.4000;
1963;1;30;1.4090;1.4000;
1963;1;31;1.4030;1.4000;
1963;2;1;1.3060;1.4000;
1963;2;2;1.1660;1.4000;
1963;2;3;1.0040;1.4000;
1963;2;4;0.8860;1.4000;
1963;2;5;0.8230;1.4000;
1963;2;6;0.8060;1.4000;
1963;2;7;0.8610;1.4000;
1963;2;8;0.9500;1.4000;
1963;2;9;1.0690;1.4000;
1963;2;10;1.1760;1.4000;
1963;2;11;1.2640;1.4000;
1963;2;12;1.3130;1.4000;
1963;2;13;1.3260;1.4000;
1963;2;14;1.3030;1.4000;
1963;2;15;1.2390;1.4000;
1963;2;16;1.1670;1.4000;
1963;2;17;1.0810;1.4000;
1963;2;18;1.0040;1.4000;
1963;2;19;0.9540;1.4000;
1963;2;20;0.9370;1.4000;
1963;2;21;1.0030;1.4000;
1963;2;22;1.1430;1.4000;
1963;2;23;1.3460;1.4000;
1963;2;24;1.5840;1.4000;
1963;2;25;1.7940;1.4000;
1963;2;26;1.9120;1.4000;
1963;2;27;1.9360;1.4000;
1963;2;28;1.8430;1.4000;
1963;3;1;1.6870;1.4000;
1963;3;2;1.4970;1.4000;
