Years;SCH15;STO15;WIL16;BCC;CCSM;GISS;IPSL;MPI
1176;0.0800;;-0.2086;-0.1464;-0.9898;-0.0492;-1.1582;-0.8551
1177;0.0956;;-0.2587;-0.9435;-2.3429;-0.1528;-2.5604;-0.7134
1178;0.1553;;-0.1919;-0.8700;-1.1386;-0.3332;-2.2634;-0.6858
1179;-0.0561;;-0.5594;-0.7607;-0.6439;-0.3065;-1.6031;-0.1905
1180;-0.2256;;-0.3924;-0.6490;-0.7687;-0.1158;-1.3356;-0.0617
1181;0.0378;;-0.3924;-0.5837;-0.7460;-0.2738;-1.5329;-0.1383
1182;-0.0465;;-0.5260;-0.3802;-0.5869;-0.0965;-1.0968;-0.4186
1183;0.2247;;-0.0750;-0.4661;-0.6872;-0.0361;-1.1967;-0.3804
1184;0.1550;;0.1088;-0.1681;-0.5389;-0.2604;-1.0765;-0.3532
1185;0.4729;;0.1923;-0.1102;-0.1273;-0.2040;-1.1827;-0.3698
1186;-0.0595;;-0.1585;-0.4827;-0.3734;0.0494;-1.0151;-0.5230
1187;0.2220;;0.0252;-0.5795;-0.3775;0.0970;-0.8745;-0.2175
1188;0.1270;;-0.1418;-0.4038;-0.3693;0.0028;-0.5888;-0.8038
1189;-0.0620;;-0.2086;-0.6920;-0.6210;-0.1917;-1.3200;-0.3794
1190;-0.1402;;-0.1418;-0.6391;-0.5653;-0.1292;-1.0455;-0.3690
1191;-0.0233;;-0.2420;-0.4092;-0.5848;-0.1115;-1.2604;-0.1937
1192;-0.0662;;-0.4592;-0.4402;-0.8629;-0.1951;-1.0938;-0.5495
1193;0.0459;;-0.1752;-0.6881;-0.4061;0.0037;-0.8356;-0.6212
1194;-0.1637;;-0.3255;-0.2258;-0.2841;-0.0980;-0.8603;-0.8616
1195;0.1433;;-0.1752;-0.7299;-0.4129;-0.3319;-1.1617;-0.4161
1196;0.1044;;-0.2754;-0.7267;-0.6359;-0.6376;-1.1389;-0.6163
1197;-0.0483;;-0.5761;-0.4844;-0.2914;-0.5819;-0.7119;-0.4329
1198;0.3841;;-0.1251;-0.5482;-0.1696;-0.5543;-1.0818;-0.6952
1199;0.2705;;-0.3422;-0.8386;-0.6123;-0.0937;-0.6600;-0.7495
1200;0.2295;;-0.5360;-0.5455;-0.2284;-0.1733;-0.9860;-0.6756
1201;-0.2487;;-0.4702;-0.8376;-0.5495;-0.0662;-1.1592;-0.5388
1202;0.2441;;-0.2562;-0.5283;-0.0931;0.0551;-0.9626;-0.7208
1203;0.3553;;-0.2891;-0.7384;-0.3538;-0.0199;-1.1113;-0.2958
1204;0.3142;;-0.4208;-0.6832;-0.4404;0.1030;-1.1231;-0.6260
1205;-0.0875;;-0.3549;-0.6052;-0.8467;-0.0749;-1.5840;-0.7358
1206;0.0196;;-0.3385;-0.6922;-0.3830;0.0938;-1.1626;-0.7058
1207;-0.0018;;-0.2562;-0.6335;-0.5437;-0.1673;-1.2356;-0.7914
1208;0.0396;;-0.1574;-0.5225;-0.4120;0.0067;-1.1500;-0.5592
1209;0.0969;;0.0073;-0.5114;-0.7121;-0.2981;-1.2189;-0.5648
1210;0.3108;;0.0073;-0.6492;-0.3268;-0.0846;-0.9026;-0.7677
1211;0.4270;;0.1884;-0.6896;-0.3912;0.0167;-0.9044;-0.6383
1212;0.2671;;-0.1903;-0.2011;-0.6859;-0.1034;-1.2216;-0.4774
1213;0.0572;;-0.1244;-0.6756;-2.0031;-0.0977;-1.3137;-0.3729
1214;0.1419;;-0.3714;-1.3033;-2.5356;0.1640;-1.2753;-0.2868
1215;0.2183;;-0.5854;-0.8254;-1.3918;-0.2341;-1.5123;-0.6638
1216;0.2198;;-0.2891;-0.8086;-0.9367;-0.4188;-1.0380;-0.4283
1217;0.0214;;-0.2726;-1.0183;-0.8291;-0.0429;-1.0550;-0.6727
1218;0.2110;;-0.1080;-0.7284;-0.8954;-0.1769;-0.7473;-0.6010
1219;0.0775;;-0.2232;-0.8259;-0.6431;-0.1172;-0.8808;-0.2701
1220;0.2769;;-0.4043;-0.3684;-0.6668;-0.1555;-1.1779;-0.4223
1221;0.5085;;-0.0421;-0.3496;-0.9610;-0.0883;-1.1064;-0.4212
1222;-0.0323;;-0.3714;-0.7161;-0.5922;-0.4097;-1.5775;-0.3937
1223;0.1023;;-0.5525;-0.3666;-0.6895;-0.2445;-1.0230;-0.4503
1224;0.3021;;-0.1903;-0.4643;-0.7514;-0.0151;-1.0335;-0.1110
1225;-0.0215;;-0.6513;-0.1694;-0.4511;-0.5530;-0.8956;-1.1104
1226;0.2994;;-0.5031;-0.4159;-0.3003;-0.2270;-1.0742;-0.7586
1227;0.3017;;-0.2068;-0.7113;-0.7377;-0.2731;-1.1202;-0.5643
1228;0.0543;;-0.4043;-0.7260;-0.6387;-1.5093;-0.6958;-1.8577
1229;0.1292;;-0.3879;-0.5499;-0.9552;-1.1792;-1.1538;-1.0357
1230;-0.3006;;-0.9641;-0.7369;-0.8332;-1.1714;-1.3081;-1.0577
1231;-0.2146;;-0.7994;-0.5302;-0.4437;-0.6000;-1.1025;-1.0299
1232;0.0034;;-0.7336;-0.6263;-0.3106;-0.2440;-2.1594;-0.8688
1233;-0.0408;;-0.8818;-1.0713;-0.6825;-0.5747;-1.7884;-1.2190
1234;-0.2715;;-1.0464;-0.7271;-0.6489;-0.3555;-0.8475;-1.0937
1235;-0.0724;;-0.9476;-0.4869;-0.4468;-0.4068;-1.0176;-1.0595
1236;-0.1247;;-0.7007;-0.8874;-0.4534;-0.2725;-1.0256;-0.9289
1237;-0.0800;;-0.5031;-0.9260;-0.5161;-0.2717;-1.1523;-0.6996
1238;-0.0712;;-0.7830;-0.6658;-0.3571;-0.0758;-0.8562;-0.4441
1239;-0.0686;;-0.6513;-0.3484;-0.0444;0.0146;-1.1219;-1.0072
1240;0.0440;;-0.6019;-0.7485;-0.6592;-0.0111;-1.1507;-0.9258
1241;0.2182;;-0.5690;-0.7047;-0.4239;0.0614;-1.1614;-0.6591
1242;0.1098;;-0.2891;-0.3905;-0.1864;0.0471;-1.2133;-0.6713
1243;0.1406;;-0.2726;-0.7954;-0.3346;0.0352;-1.3761;-0.9442
1244;-0.1729;;-0.6183;-0.5153;-0.2269;-0.1028;-0.9171;-0.5919
1245;0.1683;;-0.2068;-0.3756;-0.4128;-0.1962;-0.9305;-0.8029
